2018-12-23 08:30:47 startup packages remove
2018-12-23 08:30:47 status installed grub-gfxpayload-lists:amd64 0.7
2018-12-23 08:30:47 status installed grub-pc:amd64 2.02~beta2-36ubuntu3.20
2018-12-23 08:30:47 status installed grub-gfxpayload-lists:amd64 0.7
2018-12-23 08:30:47 status installed grub-pc:amd64 2.02~beta2-36ubuntu3.20
2018-12-23 08:30:47 status installed grub-gfxpayload-lists:amd64 0.7
2018-12-23 08:30:47 status installed grub-pc:amd64 2.02~beta2-36ubuntu3.20
2018-12-23 08:30:47 status installed grub-gfxpayload-lists:amd64 0.7
2018-12-23 08:30:47 remove grub-gfxpayload-lists:amd64 0.7 <none>
2018-12-23 08:30:47 status half-configured grub-gfxpayload-lists:amd64 0.7
2018-12-23 08:30:47 status half-installed grub-gfxpayload-lists:amd64 0.7
2018-12-23 08:30:47 status triggers-pending man-db:amd64 2.7.5-1
2018-12-23 08:30:47 status config-files grub-gfxpayload-lists:amd64 0.7
2018-12-23 08:30:47 status config-files grub-gfxpayload-lists:amd64 0.7
2018-12-23 08:30:47 status config-files grub-gfxpayload-lists:amd64 0.7
2018-12-23 08:30:47 status not-installed grub-gfxpayload-lists:amd64 <none>
2018-12-23 08:30:47 status installed grub-pc:amd64 2.02~beta2-36ubuntu3.20
2018-12-23 08:30:47 remove grub-pc:amd64 2.02~beta2-36ubuntu3.20 <none>
2018-12-23 08:30:47 status half-configured grub-pc:amd64 2.02~beta2-36ubuntu3.20
2018-12-23 08:30:48 status half-installed grub-pc:amd64 2.02~beta2-36ubuntu3.20
2018-12-23 08:30:48 status config-files grub-pc:amd64 2.02~beta2-36ubuntu3.20
2018-12-23 08:30:48 status config-files grub-pc:amd64 2.02~beta2-36ubuntu3.20
2018-12-23 08:30:48 trigproc man-db:amd64 2.7.5-1 <none>
2018-12-23 08:30:48 status half-configured man-db:amd64 2.7.5-1
2018-12-23 08:30:48 status installed man-db:amd64 2.7.5-1
2018-12-23 08:30:48 startup archives unpack
2018-12-23 08:30:48 install libefivar0:amd64 <none> 0.23-2
2018-12-23 08:30:48 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-12-23 08:30:48 status half-installed libefivar0:amd64 0.23-2
2018-12-23 08:30:48 status unpacked libefivar0:amd64 0.23-2
2018-12-23 08:30:48 status unpacked libefivar0:amd64 0.23-2
2018-12-23 08:30:48 install efibootmgr:amd64 <none> 0.12-4
2018-12-23 08:30:48 status half-installed efibootmgr:amd64 0.12-4
2018-12-23 08:30:48 status triggers-pending man-db:amd64 2.7.5-1
2018-12-23 08:30:48 status unpacked efibootmgr:amd64 0.12-4
2018-12-23 08:30:48 status unpacked efibootmgr:amd64 0.12-4
2018-12-23 08:30:48 install grub-efi-amd64-bin:amd64 <none> 2.02~beta2-36ubuntu3.20
2018-12-23 08:30:48 status half-installed grub-efi-amd64-bin:amd64 2.02~beta2-36ubuntu3.20
2018-12-23 08:30:49 status unpacked grub-efi-amd64-bin:amd64 2.02~beta2-36ubuntu3.20
2018-12-23 08:30:49 status unpacked grub-efi-amd64-bin:amd64 2.02~beta2-36ubuntu3.20
2018-12-23 08:30:49 install grub-efi-amd64:amd64 <none> 2.02~beta2-36ubuntu3.20
2018-12-23 08:30:49 status half-installed grub-efi-amd64:amd64 2.02~beta2-36ubuntu3.20
2018-12-23 08:30:49 status unpacked grub-efi-amd64:amd64 2.02~beta2-36ubuntu3.20
2018-12-23 08:30:49 status unpacked grub-efi-amd64:amd64 2.02~beta2-36ubuntu3.20
2018-12-23 08:30:49 install grub-efi-amd64-signed:amd64 <none> 1.66.20+2.02~beta2-36ubuntu3.20
2018-12-23 08:30:49 status half-installed grub-efi-amd64-signed:amd64 1.66.20+2.02~beta2-36ubuntu3.20
2018-12-23 08:30:49 status unpacked grub-efi-amd64-signed:amd64 1.66.20+2.02~beta2-36ubuntu3.20
2018-12-23 08:30:49 status unpacked grub-efi-amd64-signed:amd64 1.66.20+2.02~beta2-36ubuntu3.20
2018-12-23 08:30:49 install mokutil:amd64 <none> 0.3.0+1538710437.fb6250f-0ubuntu2~16.04.1
2018-12-23 08:30:49 status half-installed mokutil:amd64 0.3.0+1538710437.fb6250f-0ubuntu2~16.04.1
2018-12-23 08:30:49 status unpacked mokutil:amd64 0.3.0+1538710437.fb6250f-0ubuntu2~16.04.1
2018-12-23 08:30:49 status unpacked mokutil:amd64 0.3.0+1538710437.fb6250f-0ubuntu2~16.04.1
2018-12-23 08:30:49 install sbsigntool:amd64 <none> 0.6-0ubuntu10.1
2018-12-23 08:30:49 status half-installed sbsigntool:amd64 0.6-0ubuntu10.1
2018-12-23 08:30:49 status unpacked sbsigntool:amd64 0.6-0ubuntu10.1
2018-12-23 08:30:49 status unpacked sbsigntool:amd64 0.6-0ubuntu10.1
2018-12-23 08:30:49 install secureboot-db:amd64 <none> 1.4~ubuntu0.16.04.1
2018-12-23 08:30:49 status half-installed secureboot-db:amd64 1.4~ubuntu0.16.04.1
2018-12-23 08:30:49 status unpacked secureboot-db:amd64 1.4~ubuntu0.16.04.1
2018-12-23 08:30:49 status unpacked secureboot-db:amd64 1.4~ubuntu0.16.04.1
2018-12-23 08:30:49 install shim:amd64 <none> 13-0ubuntu2
2018-12-23 08:30:49 status half-installed shim:amd64 13-0ubuntu2
2018-12-23 08:30:49 status unpacked shim:amd64 13-0ubuntu2
2018-12-23 08:30:49 status unpacked shim:amd64 13-0ubuntu2
2018-12-23 08:30:49 install shim-signed:amd64 <none> 1.33.1~16.04.1+13-0ubuntu2
2018-12-23 08:30:49 status half-installed shim-signed:amd64 1.33.1~16.04.1+13-0ubuntu2
2018-12-23 08:30:49 status unpacked shim-signed:amd64 1.33.1~16.04.1+13-0ubuntu2
2018-12-23 08:30:49 status unpacked shim-signed:amd64 1.33.1~16.04.1+13-0ubuntu2
2018-12-23 08:30:49 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-12-23 08:30:49 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-12-23 08:30:49 status installed libc-bin:amd64 2.23-0ubuntu10
2018-12-23 08:30:49 trigproc man-db:amd64 2.7.5-1 <none>
2018-12-23 08:30:49 status half-configured man-db:amd64 2.7.5-1
2018-12-23 08:30:50 status installed man-db:amd64 2.7.5-1
2018-12-23 08:30:50 startup packages configure
2018-12-23 08:30:50 configure libefivar0:amd64 0.23-2 <none>
2018-12-23 08:30:50 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-12-23 08:30:50 status unpacked libefivar0:amd64 0.23-2
2018-12-23 08:30:50 status half-configured libefivar0:amd64 0.23-2
